timestamp,open,high,low,close
1762084500000,4001.505,4001.505,4001.505,4001.505
1762084800000,4001.505,4001.505,4001.505,4001.505
1762085100000,4001.505,4001.505,4001.505,4001.505
1762085400000,4001.505,4001.505,4001.505,4001.505
1762085700000,4001.505,4001.505,4001.505,4001.505
1762086000000,4001.505,4001.505,4001.505,4001.505
1762086300000,4001.505,4001.505,4001.505,4001.505
1762086600000,4001.505,4001.505,4001.505,4001.505
1762086900000,4001.505,4001.505,4001.505,4001.505
1762087200000,4001.505,4001.505,4001.505,4001.505
1762087500000,4001.505,4001.505,4001.505,4001.505
1762087800000,4001.505,4001.505,4001.505,4001.505
1762088100000,4001.505,4001.505,4001.505,4001.505
1762088400000,4001.505,4001.505,4001.505,4001.505
1762088700000,4001.505,4001.505,4001.505,4001.505
1762089000000,4001.505,4001.505,4001.505,4001.505
1762089300000,4001.505,4001.505,4001.505,4001.505
1762089600000,4001.505,4001.505,4001.505,4001.505
1762089900000,4001.505,4001.505,4001.505,4001.505
1762090200000,4001.505,4001.505,4001.505,4001.505
1762090500000,4001.505,4001.505,4001.505,4001.505
1762090800000,4001.505,4001.505,4001.505,4001.505
1762091100000,4001.505,4001.505,4001.505,4001.505
1762091400000,4001.505,4001.505,4001.505,4001.505
1762091700000,4001.505,4001.505,4001.505,4001.505
1762092000000,4001.505,4001.505,4001.505,4001.505
1762092300000,4001.505,4001.505,4001.505,4001.505
1762092600000,4001.505,4001.505,4001.505,4001.505
1762092900000,4001.505,4001.505,4001.505,4001.505
1762093200000,4001.505,4001.505,4001.505,4001.505
1762093500000,4001.505,4001.505,4001.505,4001.505
1762093800000,4001.505,4001.505,4001.505,4001.505
1762094100000,4001.505,4001.505,4001.505,4001.505
1762094400000,4001.505,4001.505,4001.505,4001.505
1762094700000,4001.505,4001.505,4001.505,4001.505
1762095000000,4001.505,4001.505,4001.505,4001.505
1762095300000,4001.505,4001.505,4001.505,4001.505
1762095600000,4001.505,4001.505,4001.505,4001.505
1762095900000,4001.505,4001.505,4001.505,4001.505
1762096200000,4001.505,4001.505,4001.505,4001.505
1762096500000,4001.505,4001.505,4001.505,4001.505
1762096800000,4001.505,4001.505,4001.505,4001.505
1762097100000,4001.505,4001.505,4001.505,4001.505
1762097400000,4001.505,4001.505,4001.505,4001.505
1762097700000,4001.505,4001.505,4001.505,4001.505
1762098000000,4001.505,4001.505,4001.505,4001.505
1762098300000,4001.505,4001.505,4001.505,4001.505
1762098600000,4001.505,4001.505,4001.505,4001.505
1762098900000,4001.505,4001.505,4001.505,4001.505
1762099200000,4001.505,4001.505,4001.505,4001.505
1762099500000,4001.505,4001.505,4001.505,4001.505
1762099800000,4001.505,4001.505,4001.505,4001.505
1762100100000,4001.505,4001.505,4001.505,4001.505
1762100400000,4001.505,4001.505,4001.505,4001.505
1762100700000,4001.505,4001.505,4001.505,4001.505
1762101000000,4001.505,4001.505,4001.505,4001.505
1762101300000,4001.505,4001.505,4001.505,4001.505
1762101600000,4001.505,4001.505,4001.505,4001.505
1762101900000,4001.505,4001.505,4001.505,4001.505
1762102200000,4001.505,4001.505,4001.505,4001.505
1762102500000,4001.505,4001.505,4001.505,4001.505
1762102800000,4001.505,4001.505,4001.505,4001.505
1762103100000,4001.505,4001.505,4001.505,4001.505
1762103400000,4001.505,4001.505,4001.505,4001.505
1762103700000,4001.505,4001.505,4001.505,4001.505
1762104000000,4001.505,4001.505,4001.505,4001.505
1762104300000,4001.505,4001.505,4001.505,4001.505
1762104600000,4001.505,4001.505,4001.505,4001.505
